N03309-8 [um],N03309-8 %T,N03310-8E [um],N03310-8E %T,N03903-9 [um],N03903-9 %T,N03946-4 [um],N03946-4 %T,N03946-4 (nom) [um],N03946-4 (nom) %T,N07904-9 [um],N07904-9 %T,N08909-9O [um],N08909-9O %T,N09145-9 [um],N09145-9 %T,N09788-9P [um],N09788-9P %T,N12520-9 [um],N12520-9 %T
3.48,0.66,3.34,71.59,,,4.09,23.14,4.06,64.26,8.31,27.5,9.26,75,9.37,79.5,9.83,87.75,12.51,84.31
3.49,0.48,3.34,69.7,,,4.1,14.31,4.07,47.15,8.35,12.5,9.28,64,9.39,78,9.87,87.25,12.53,84.8
3.51,0.3,3.34,65.15,,,4.11,9.02,4.08,32.7,8.38,8,9.3,51.5,9.42,77.5,9.89,87.25,12.55,85.29
3.8,0,3.34,59.09,,,4.12,5.88,4.09,20.91,8.4,5.5,9.32,38,9.44,76.5,9.92,86.27,12.57,86.27
,,3.35,48.48,,,4.14,3.92,4.1,13.69,8.41,4.5,9.34,25,9.45,75.5,9.94,85.29,12.6,86.76
,,3.35,37.5,,,4.15,1.96,4.1,10.27,8.43,3,9.36,15.5,9.48,74,9.96,84.8,12.62,87.25
,,3.35,25.76,,,4.17,0.78,4.11,7.6,8.46,2,9.39,8.5,9.49,72.5,9.98,85.29,12.65,87.25
,,3.35,17.42,,,4.19,0.39,4.12,5.32,8.49,1.5,9.4,5.5,9.5,70,10.01,85.78,12.67,87.25
,,3.36,11.74,,,4.21,0,4.13,3.8,8.52,0.5,9.42,4.5,9.52,64.5,10.03,86.76,12.69,87.25
,,3.36,7.95,,,4.5,0,4.14,2.66,8.57,0.5,9.43,3.5,9.54,53.5,10.05,87.75,12.7,86.76
,,3.36,6.44,,,,,4.16,1.9,8.99,0,9.45,2,9.57,40,10.07,88.24,12.73,86.27
,,3.36,4.92,,,,,4.17,1.14,,,9.48,1.5,9.6,27.5,10.08,88.73,12.76,85.29
,,3.37,3.79,,,,,4.19,0.38,,,9.51,1,9.61,19,10.09,88.24,12.8,84.8
,,3.37,2.65,,,,,4.22,0.38,,,9.55,0.5,9.64,11.5,10.11,85.78,12.85,84.31
,,3.37,1.89,,,,,4.49,0,,,9.61,0.5,9.66,7.5,10.14,77.94,12.87,82.84
,,3.38,1.14,,,,,,,,,9.99,0,9.68,5,10.17,64.22,12.9,80.88
,,3.38,0.76,,,,,,,,,,,9.69,4,10.2,44.12,12.91,77.94
,,3.39,0.38,,,,,,,,,,,9.72,2.5,10.26,23.04,12.94,72.55
,,3.4,0,,,,,,,,,,,9.73,1.5,10.3,13.73,12.97,65.2
,,,,,,,,,,,,,,9.76,1,10.34,8.82,12.99,55.88
,,,,,,,,,,,,,,9.78,0.5,10.37,6.86,13.03,46.08
,,,,,,,,,,,,,,9.81,0.5,10.39,4.9,13.08,34.31
,,,,,,,,,,,,,,9.84,0.5,10.43,3.43,13.13,24.02
,,,,,,,,,,,,,,9.99,0,10.47,1.96,13.17,15.2
,,,,,,,,,,,,,,,,10.51,0.98,13.2,8.33
,,,,,,,,,,,,,,,,10.56,0.49,13.22,5.39
,,,,,,,,,,,,,,,,10.62,0.49,13.24,3.92
,,,,,,,,,,,,,,,,10.68,0,13.26,1.96
,,,,,,,,,,,,,,,,10.99,0,13.28,1.47
,,,,,,,,,,,,,,,,,,13.3,0.49
,,,,,,,,,,,,,,,,,,13.32,0.49
,,,,,,,,,,,,,,,,,,13.36,0
,,,,,,,,,,,,,,,,,,13.48,0
